502672	0.03	0.99	-0.01	-4.03	1.16	0.00	25.49
506652	0.03	0.98	-0.01	-4.03	1.16	0.00	25.46
510648	0.03	0.98	-0.01	-4.03	1.16	0.06	25.45
514672	0.03	0.98	-0.01	-4.03	1.22	0.06	25.46
518676	0.03	0.98	-0.01	-3.97	1.28	0.00	25.48
522656	0.03	0.98	-0.01	-3.97	1.16	0.06	25.48
526688	0.03	0.98	-0.01	-4.03	1.10	0.06	25.49
530704	0.03	0.98	-0.01	-3.97	1.16	0.12	25.49
534732	0.03	0.98	-0.01	-3.97	1.16	0.12	25.48
538760	0.03	0.98	-0.01	-3.97	1.22	0.06	25.48
542784	0.03	0.98	-0.01	-4.03	1.22	0.12	25.48
546800	0.03	0.99	-0.02	-4.03	1.22	0.06	25.49
550820	0.03	0.99	-0.02	-3.97	1.22	0.12	25.50
554848	0.03	0.98	-0.02	-3.97	1.16	0.06	25.49
558872	0.03	0.98	-0.02	-3.91	1.10	0.12	25.49
562896	0.03	0.99	-0.01	-4.03	1.10	0.12	25.48
566916	0.02	0.98	-0.01	-3.97	1.10	0.06	25.48
570928	0.03	0.98	-0.01	-3.85	1.04	0.12	25.49
574956	0.03	0.98	-0.01	-3.91	1.04	0.12	25.48
578976	0.03	0.98	-0.01	-3.97	1.10	0.06	25.47
582992	0.03	0.98	-0.01	-3.97	1.16	0.06	25.47
587020	0.03	0.98	-0.01	-3.97	1.10	0.06	25.49
591040	0.02	0.98	-0.01	-3.91	1.10	0.06	25.49
595060	0.02	0.99	-0.01	-3.85	1.16	0.12	25.47
599088	0.02	0.98	-0.01	-3.97	1.10	0.06	25.47
603104	0.02	0.98	-0.01	-3.97	1.04	0.06	25.48
607092	0.02	0.98	-0.01	-3.91	1.10	0.06	25.48
611092	0.02	0.98	-0.01	-3.91	1.10	0.06	25.47
615088	0.02	0.98	-0.01	-3.97	1.10	0.06	25.48
619108	0.02	0.98	-0.01	-3.97	1.10	0.06	25.49
623120	0.02	0.98	-0.01	-3.97	1.16	0.06	25.49
627136	0.02	0.98	-0.01	-3.97	1.10	0.06	25.48
631148	0.02	0.98	-0.01	-3.97	1.10	0.12	25.48
